"識別ID","回答日時","セグメント","タグ","オフィスで勤務していたときの標準的な生産性を「5」とすると、テレワーク時の生産性は何点ですか？ 0点～10点でお答えください。","NPS要因 - wifiなど業務遂行に十分な通信環境がある","NPS要因 - 机、椅子など、仕事がしやすい環境が自宅にある","NPS要因 - パソコン、プリンターなど業務に必要な機器が揃っている","NPS要因 - ウェブ会議やチャットツールなど業務に必要なツール・ソフトが揃っている","NPS要因 - 上司とのコミュニケーションは円滑に実施できている","NPS要因 - 同僚とのコミュニケーションは円滑に実施できている","NPS要因 - 顧客や社外関係者とのコミュニケーションは円滑に実施できている","NPS要因 - 業務量は適切である","NPS要因 - 適切な業務指示を受けている","NPS要因 - 自分の業務に対するフィードバック・評価をしっかり得られている","NPS要因 - 自身の業務はテレワークに対応しており、在宅でも遂行できている","NPS要因 - 会社は、自分の健康や安全に十分配慮している","NPS要因 - 会社は、自分の家族環境にも十分配慮している","NPS要因 - 情報セキュリティ対策を十分に行っている","NPS要因 - テレワークの環境整備など、施策実行が迅速だった","NPS要因 - 会社の業績は安定している","NPS要因 - 給与が安定して支払われている","NPS要因 -  プライベートと業務の切り替え、メリハリが上手く実施できている","平均すると、1週間で何日程度テレワークを実施していますか？","テレワークはどの程度前から実施していますか？最も近いものを選択してください。","あなたの性別を選択してください。","あなたの年代を選択してください。","あなたの勤続年数を選択してください。","あなたの役職を選択してください。","あなたの雇用形態を選択してください。","あなたの入社形態を選択してください。","あなたの所属部門に最も近いものを選択してください。","あなたは、現在の職場で働くことをを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください。","IPアドレス","UserAgent"
"","2020/06/29 10:50:57","セグメントなし","","7;仲間内でちょっと聞きたいことが普段ならすぐに聞けるが電話になってしまうと
すぐにつながらなかったりという状況が良くある","当てはまらない","あまり当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","どちらでもない","あまり当てはまらない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","当てはまらない","週2日程度","2ヶ月程度前","男性","40～49歳","20年以上～","プレイヤー（内勤系職種）","正社員","新卒","企画部門","3;自身が働き甲斐を感じていないので","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/29 10:45:02","セグメントなし","","5","やや当てはまる","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","当てはまらない","どちらでもない","やや当てはまる","週1日程度","2ヶ月程度前","男性","40～49歳","20年以上～","その他","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363"
"","2020/06/29 10:43:12","セグメントなし","","4;他部署とのコミュニケーション不足を感じるため","当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","あまり当てはまらない","当てはまる","やや当てはまる","週3日程度","3ヶ月程度前","男性","40～49歳","20年以上～","主任／リーダー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3;利益の根幹である年賀状の状況で業績が大きく変わる、またその年賀状の将来性に不安があるため。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
"","2020/06/29 10:08:49","セグメントなし","","7;自分の業務に集中しやすくなった
通勤の負担がなくなった","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","週4日程度","2ヶ月程度前","男性","40～49歳","5年以上～10年未満","主任／リーダー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","システム部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
"","2020/06/29 10:00:19","セグメントなし","","3","あまり当てはまらない","当てはまらない","当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","当てはまらない","やや当てはまる","あまり当てはまらない","週1日に満たない","3ヶ月程度前","男性","40～49歳","20年以上～","取締役／役員","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0"
"","2020/06/29 09:57:34","セグメントなし","","8","当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","当てはまらない","当てはまる","どちらでもない","週1日程度","2ヶ月程度前","女性","30～39歳","半年未満","主任／リーダー（内勤系職種）","その他","新卒","その他部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
"","2020/06/29 09:41:20","セグメントなし","","5;大きく変わってはいないが、ニュアンスが伝わらないとき、進捗が悪い時など顔を合わせて
定期的に確認しています。","当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","当てはまる","やや当てはまる","当てはまる","どちらでもない","当てはまる","やや当てはまる","どちらでもない","やや当てはまる","当てはまる","週2日程度","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","システム部門","8;比較は単純にはできないが、やりがいがあり、会社、上司のサポートには満足している","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/26 12:09:14","セグメントなし","","4;商品を見ながら打ち合わせができないので難しい場合がある","どちらでもない","あまり当てはまらない","当てはまらない","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","週3日程度","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","6","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363"
"","2020/06/25 16:15:28","セグメントなし","","3","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","当てはまらない","あまり当てはまらない","当てはまらない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまる","どちらでもない","当てはまる","どちらでもない","週1日程度","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","新卒","人事部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/24 17:13:49","セグメントなし","","4;静かな環境で集中は出来るようになったものの
細かな確認などにラグが生じる。","当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","あまり当てはまらない","週4日程度","3ヶ月程度前","男性","30～39歳","5年以上～10年未満","主任／リーダー（内勤系職種）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3;無回答","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0"
"","2020/06/24 16:26:44","セグメントなし","","7;①通勤時間も勤務時間にあてられる
②データ作成などコミュニケーションが必要ない業務は集中力が保たれる
③日々の業務の組み立てにメリハリがつく
（コミュニケーションや即時連携が必要な日は出社、集中して資料を作りたい日はテレワークなど）","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまらない","当てはまらない","当てはまらない","やや当てはまる","やや当てはまる","週3日程度","2ヶ月程度前","女性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","中途","人事部門","7;事業内容、社風、福利厚生、働いている人の人柄は魅力がある。
しかし、制度面、業績面を考えると強く勧めることはできない。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/24 16:18:31","セグメントなし","","8;仕事は非常に捗りますが、チェックや確認が遅くなると判断します。
また会議の電波状況で音が聞き取れない時もあり不便さも感じました。
個人としては黙々と仕事ができるため継続してほしいです。","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","週1日程度","2ヶ月程度前","男性","40～49歳","20年以上～","部長（複数の課のマネジメント）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","8;非常に社風が開けてて意見を述べやすい会社だと思います。
成果がマストですが、プロセスもしっかり評価してくれます。
若い力がさらに入ってきて活力になっていただきたいです。
もっと大きく転換する時期が必ずきます。
どんなことがあっても耐えしのぎながら更なる発展拡大ができる会社になっていける会社だと思います。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/24 14:01:03","セグメントなし","","8;周りの声を気にすることもなく、粛々と作業ができ、
仕事の精度も上がったように感じます。

また、不要な会議がなくなりました。

連絡は、zoomのチャットで行うため、文字として残ります。
それにより、伝達ミス、忘れてしまうという事がなく、とても便利です。

メールは大量にCCが来るので、見過ごしてしまいますが、
zoomは各担当ごとに分けられているのでその点も解消されています。","当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","あまり当てはまらない","当てはまらない","やや当てはまる","やや当てはまる","週5日以上","2ヶ月程度前","女性","40～49歳","10年以上～20年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","マーケティング部門（広報も含む）","4;仕事に対する報酬が少ないと感じるため。
会社として業績が奮わないため。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
"","2020/06/24 10:17:53","セグメントなし","","7;打ち合わせをスムーズにできない面もあるが、基本的には周りを気にすることなく集中して考えることができるため個人的には生産性は上がっていると感じる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","週3日程度","2ヶ月程度前","男性","40～49歳","20年以上～","その他","正社員","中途","企画部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/24 10:00:51","セグメントなし","","6","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","当てはまる","あまり当てはまらない","やや当てはまる","どちらでもない","当てはまらない","どちらでもない","どちらでもない","やや当てはまる","週5日以上","3ヶ月程度前","女性","40～49歳","1年以上～3年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","マーケティング部門（広報も含む）","3","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/24 07:56:20","セグメントなし","","8;テレワークの方が自分の仕事に集中できて生産性は高まったが、部署内の従業者とのコミュニケーションの取りづらさは感じることがあるためその分減点しました。","当てはまる","やや当てはまる","当てはまらない","当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまらない","やや当てはまる","やや当てはまる","週1日程度","2ヶ月程度前","女性","40～49歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","新卒","人事部門","1;写真業界を取り巻く外部環境が以前から厳しかった上に、新型コロナウィルスの感染拡大により業績が悪化したため","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/24 06:17:12","セグメントなし","","6;オフィスにいる際とそれ程仕事の進み具合に変化はなかった為","当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","週1日程度","2ヶ月程度前","女性","30～39歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","人事部門","7;社風として上下の壁がない部分や事業の価値が高いと感じる為。
正社員であると全国転勤になるので、その点は家族がいる友人には困難に感じる。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/23 17:17:33","セグメントなし","","5;会社運営の最低限の仕事をという事だったので、その部分の仕事に関して作業時間等は変わらなかった為","当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","当てはまる","当てはまらない","当てはまる","当てはまらない","週2日程度","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","人事部門","0;そもそも、中途採用を停止している為","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/23 16:35:41","セグメントなし","","3;移動に要する時間が短縮されるため、やり方次第では生産性は上がると考えますが、
会社の働き方自体が依然と大きく変わらないため、事務所に行かないとできない業務がまだまだあり、現時点では生産性が落ちていると思います。","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまらない","当てはまらない","どちらでもない","あまり当てはまらない","週1日に満たない","2ヶ月程度前","男性","40～49歳","20年以上～","部長（複数の課のマネジメント）","正社員","中途","企画部門","4;会社はとても良い会社ですが、業界は大変厳しいため","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/23 16:13:14","セグメントなし","","5","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","週4日程度","3ヶ月程度前","男性","30～39歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","中途","その他部門","3","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/23 16:10:45","セグメントなし","","2;オフィスで実機（PCなどのハードウェア）を使用しないとできない業務が過半のため","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","どちらでもない","当てはまらない","あまり当てはまらない","あまり当てはまらない","週1日に満たない","2ヶ月程度前","男性","40～49歳","20年以上～","プレイヤー（内勤系職種）","正社員","中途","技術・研究開発部門","2","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"","2020/06/23 14:13:44","セグメントなし","","4","当てはまる","やや当てはまる","あまり当てはまらない","当てはまらない","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまる","どちらでもない","週3日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","その他","正社員","新卒","その他部門","3","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/23 10:36:27","セグメントなし","","5","あまり当てはまらない","あまり当てはまらない","当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","週1日に満たない","2ヶ月程度前","女性","30～39歳","1年以上～3年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","総務部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
